Источник трафика;Площадка;Страна;Визиты;Посетители;Коэффициент отказов;Среднее время на сайте, сек;Целевые посетители (Переход в Telegram);Целевые посетители (Переход в WhatsApp);Целевые посетители (Автоцель: клик по email);Целевые посетители (Отправка формы (go to thank-you-page));Целевые посетители (Клик кнопки Звонок);Целевые посетители (Клик номера телефона (footer));Total goals;Junk source
Внутренние переходы;;Турция;1.0;1.0;0.0;552.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Прямые заходы;;Болгария;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Прямые заходы;;Венгрия;1.0;1.0;0.0;76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Прямые заходы;;Дания;1.0;1.0;1.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Прямые заходы;;Кипр;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Прямые заходы;;Объединённые Арабские Эмираты;1.0;1.0;0.0;74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Прямые заходы;;Узбекистан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Прямые заходы;;Финляндия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Прямые заходы;;Швейцария;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по ссылкам на сайтах;;Беларусь;1.0;1.0;0.0;371.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по ссылкам на сайтах;;Германия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по ссылкам на сайтах;;США;1.0;1.0;0.0;334.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по ссылкам на сайтах;;Сингапур;1.0;1.0;0.0;211.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы из поисковых систем;;Австрия;1.0;1.0;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы из поисковых систем;;Великобритания;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы из поисковых систем;;Германия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы из поисковых систем;;Испания;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы из поисковых систем;;Тайвань;1.0;1.0;0.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы из поисковых систем;;Финляндия;1.0;1.0;0.0;161.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;ok
Переходы по рекламе; ru.yandex.weatherplugin;Казахстан;1.0;1.0;0.0;16.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;ok
Переходы по рекламе; ru.yandex.weatherplugin;Узбекистан;1.0;1.0;1.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;;Бразилия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;;Великобритания;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;;Индия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;;Сингапур;1.0;1.0;0.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;1777.ru;Туркменистан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
