"Источник трафика","Площадка","Страна","Визиты","Посетители","Отказы","Время на сайте","Целевые посетители (Переход в Telegram)","Целевые посетители (Переход в WhatsApp)","Целевые посетители (Автоцель: клик по email)","Целевые посетители (Отправка формы (go to thank-you-page))","Целевые посетители (Клик кнопки Звонок)","Целевые посетители (Клик номера телефона (footer))"
"Итого и средние","","","19102","15246","0.4624123128468224","00:00:52","17","255","56","13","2","9"
"Внутренние переходы","Не определено","Турция","1","1","0.0","00:09:12","0","0","0","0","0","0"
"Прямые заходы","Не определено","Болгария","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Прямые заходы","Не определено","Венгрия","1","1","0.0","00:01:16","0","0","0","0","0","0"
"Прямые заходы","Не определено","Дания","1","1","1.0","00:00:13","0","0","0","0","0","0"
"Прямые заходы","Не определено","Кипр","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Прямые заходы","Не определено","Объединённые Арабские Эмираты","1","1","0.0","00:01:14","0","0","0","0","0","0"
"Прямые заходы","Не определено","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Прямые заходы","Не определено","Финляндия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Прямые заходы","Не определено","Швейцария","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по ссылкам на сайтах","Не определено","Беларусь","1","1","0.0","00:06:11","0","0","0","0","0","0"
"Переходы по ссылкам на сайтах","Не определено","Германия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по ссылкам на сайтах","Не определено","США","1","1","0.0","00:05:34","0","0","0","0","0","0"
"Переходы по ссылкам на сайтах","Не определено","Сингапур","1","1","0.0","00:03:31","0","0","0","0","0","0"
"Переходы из поисковых систем","Не определено","Австрия","1","1","0.0","00:00:36","0","0","0","0","0","0"
"Переходы из поисковых систем","Не определено","Великобритания","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы из поисковых систем","Не определено","Германия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы из поисковых систем","Не определено","Испания","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы из поисковых систем","Не определено","Тайвань","1","1","0.0","00:00:35","0","0","0","0","0","0"
"Переходы из поисковых систем","Не определено","Финляндия","1","1","0.0","00:02:41","1","1","0","0","0","0"
"Переходы по рекламе"," ru.yandex.weatherplugin","Казахстан","1","1","0.0","00:00:16","0","1","0","0","0","0"
"Переходы по рекламе"," ru.yandex.weatherplugin","Узбекистан","1","1","1.0","00:00:14","0","0","0","0","0","0"
"Переходы по рекламе","Не определено","Бразилия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","Не определено","Великобритания","1","1","1.0","00:00:00","0","0","0","0","0","0"
